 , ,Consumer Price Index (B),Consumer Price Index (B),Consumer Price Index (B)
,,Index,Year-on-year % change,Month-to-month % change
Year,Month,,,
2017,Jan,93.8,1.3,0
2017,Feb,93.7,0,-0.1
2017,Mar,93.9,0.5,0.2
2017,Apr,94.4,1.9,0.6
2017,May,94.2,1.8,-0.2
2017,Jun,94.2,1.8,-0.1
2017,Jul,94.6,1.8,0.4
2017,Aug,94.7,1.7,0.1
2017,Sep,94.4,1.3,-0.3
2017,Oct,94.7,1.4,0.3
2017,Nov,95,1.5,0.3
2017,Dec,95.4,1.6,0.4
2018,Jan,95.3,1.6,-0.1
2018,Feb,96.5,3,1.3
2018,Mar,96.2,2.5,-0.3
2018,Apr,96.1,1.8,-0.1
2018,May,96.2,2,0.1
2018,Jun,96.4,2.3,0.2
2018,Jul,96.7,2.3,0.4
2018,Aug,96.8,2.2,0
2018,Sep,96.8,2.5,0
2018,Oct,97,2.5,0.2
2018,Nov,97.2,2.4,0.2
2018,Dec,97.6,2.4,0.4
2019,Jan,97.5,2.3,-0.1
2019,Feb,98.3,1.9,0.9
2019,Mar,98.1,1.9,-0.3
2019,Apr,98.8,2.8,0.7
2019,May,98.7,2.6,-0.1
2019,Jun,99.3,3,0.6
2019,Jul,99.7,3.1,0.4
2019,Aug,99.9,3.2,0.2
2019,Sep,99.8,3.1,-0.1
2019,Oct,100.1,3.1,0.2
2019,Nov,100.2,2.9,0
2019,Dec,100.2,2.9,0.1
2020,Jan,99.7,2.8,-0.5
2020,Feb,100.6,2.1,0.8
2020,Mar,100.6,2.3,0
2020,Apr,100.6,1.9,0.1
2020,May,100.3,1.5,-0.3
2020,Jun,100.3,0.8,-0.1
2020,Jul,98.9,-0.7,-1.3
2020,Aug,99.5,-0.4,0.5
2020,Sep,99,-0.7,-0.4
2020,Oct,99.7,-0.4,0.7
2020,Nov,99.7,-0.4,0
2020,Dec,99.2,-1,-0.5
2021,Jan,100.3,0.6,1.1
2021,Feb,100.7,0.1,0.3
2021,Mar,100.7,0.2,0.1
2021,Apr,101,0.3,0.2
2021,May,100.8,0.5,-0.1
2021,Jun,100.6,0.3,-0.2
2021,Jul,100.6,1.7,0.1
2021,Aug,100.7,1.3,0.1
2021,Sep,100.2,1.2,-0.5
2021,Oct,101.3,1.6,1.1
2021,Nov,101.4,1.7,0.1
2021,Dec,101.4,2.2,0
2022,Jan,101.6,1.2,0.2
2022,Feb,102.3,1.6,0.7
2022,Mar,102.4,1.7,0.2
2022,Apr,102.3,1.3,-0.2
2022,May,102.1,1.3,-0.2
2022,Jun,102.3,1.7,0.2
2022,Jul,102.5,1.8,0.1
2022,Aug,102.5,1.8,0
2022,Sep,102.7,2.4,0.2
2022,Oct,103,1.7,0.4
2022,Nov,103.1,1.7,0.1
2022,Dec,103.3,1.9,0.2
2023,Jan,103.9,2.3,0.5
2023,Feb,103.9,1.6,0
2023,Mar,104.1,1.6,0.2
2023,Apr,104.3,2,0.2
2023,May,104.1,1.9,-0.2
2023,Jun,104.2,1.9,0.2
2023,Jul,104.3,1.8,0
2023,Aug,104.3,1.7,0
2023,Sep,104.7,2,0.4
2023,Oct,105.6,2.5,0.9
2023,Nov,105.6,2.4,0
2023,Dec,105.6,2.2,0
2024,Jan,105.6,1.6,-0.1
2024,Feb,106,2,0.4
2024,Mar,106,1.9,0.1
2024,Apr,105.4,1,-0.6
2024,May,105.2,1.1,-0.1
2024,Jun,105.6,1.3,0.4
2024,Jul,106.6,2.3,0.9
2024,Aug,106.6,2.2,0
2024,Sep,106.8,2,0.1
