 , ,Composite Consumer Price Index,Composite Consumer Price Index,Composite Consumer Price Index
,,Index,Year-on-year % change,Month-to-month % change
Year,Month,,,
2017,Jan,93.9,1.3,0
2017,Feb,93.8,-0.1,-0.1
2017,Mar,94,0.5,0.2
2017,Apr,94.5,2,0.6
2017,May,94.4,2,-0.1
2017,Jun,94.3,1.9,-0.1
2017,Jul,94.7,2,0.4
2017,Aug,94.8,1.9,0.1
2017,Sep,94.6,1.4,-0.2
2017,Oct,94.9,1.5,0.3
2017,Nov,95.2,1.6,0.3
2017,Dec,95.5,1.7,0.4
2018,Jan,95.5,1.7,-0.1
2018,Feb,96.7,3.1,1.3
2018,Mar,96.4,2.6,-0.3
2018,Apr,96.3,1.9,-0.1
2018,May,96.4,2.1,0
2018,Jun,96.6,2.4,0.2
2018,Jul,96.9,2.4,0.4
2018,Aug,97,2.3,0
2018,Sep,97.2,2.7,0.2
2018,Oct,97.4,2.7,0.2
2018,Nov,97.6,2.6,0.2
2018,Dec,97.9,2.5,0.4
2019,Jan,97.8,2.4,-0.1
2019,Feb,98.7,2.1,0.9
2019,Mar,98.4,2.1,-0.3
2019,Apr,99.1,2.9,0.7
2019,May,99,2.8,-0.1
2019,Jun,99.7,3.3,0.7
2019,Jul,100.1,3.3,0.4
2019,Aug,100.3,3.5,0.2
2019,Sep,100.3,3.2,0
2019,Oct,100.6,3.1,0.2
2019,Nov,100.7,3,0.1
2019,Dec,100.7,2.9,0.1
2020,Jan,98.5,1.4,-2.2
2020,Feb,101,2.2,2.5
2020,Mar,100.9,2.3,0
2020,Apr,101,1.9,0.1
2020,May,100.7,1.5,-0.3
2020,Jun,100.6,0.7,-0.1
2020,Jul,97.7,-2.3,-2.8
2020,Aug,99.9,-0.4,2.2
2020,Sep,97.8,-2.2,-2
2020,Oct,100.2,-0.4,2.5
2020,Nov,100.3,-0.3,0.1
2020,Dec,99.8,-1,-0.6
2021,Jan,101.1,2.6,1.3
2021,Feb,101.4,0.5,0.3
2021,Mar,101.5,0.6,0.1
2021,Apr,101.8,0.8,0.2
2021,May,101.6,1,-0.1
2021,Jun,101.3,0.7,-0.3
2021,Jul,101.4,3.7,0.1
2021,Aug,101.5,1.6,0.1
2021,Sep,99.2,1.4,-2.3
2021,Oct,102,1.7,2.9
2021,Nov,102.2,1.8,0.2
2021,Dec,102.2,2.4,0
2022,Jan,102.3,1.2,0.2
2022,Feb,103.1,1.6,0.7
2022,Mar,103.3,1.7,0.2
2022,Apr,103.1,1.3,-0.2
2022,May,102.9,1.2,-0.2
2022,Jun,103.2,1.8,0.3
2022,Jul,103.3,1.9,0.2
2022,Aug,103.4,1.9,0
2022,Sep,103.5,4.4,0.1
2022,Oct,103.8,1.8,0.3
2022,Nov,104,1.8,0.1
2022,Dec,104.2,2,0.3
2023,Jan,104.8,2.4,0.6
2023,Feb,104.9,1.7,0
2023,Mar,105,1.7,0.2
2023,Apr,105.2,2.1,0.2
2023,May,105,2,-0.3
2023,Jun,105.2,1.9,0.2
2023,Jul,105.2,1.8,0
2023,Aug,105.2,1.8,0
2023,Sep,105.6,2,0.4
2023,Oct,106.7,2.7,1
2023,Nov,106.6,2.6,0
2023,Dec,106.7,2.4,0.1
2024,Jan,106.6,1.7,-0.1
2024,Feb,107.1,2.1,0.4
2024,Mar,107.1,2,0
2024,Apr,106.4,1.1,-0.7
2024,May,106.2,1.2,-0.2
2024,Jun,106.7,1.5,0.5
2024,Jul,107.8,2.5,1
2024,Aug,107.8,2.5,0
2024,Sep,107.9,2.2,0.1
